UserDidUnfollowHashtag,Params: Context
UserDidFollowUser,Params: Context
UserDidUnfollowUser,Params: Context
,
// Google Analytics section durations,
CameraDidAppear,
CommentsDidAppear,
CameraPreviewDidAppear,
ProfileEditDidAppear,
RemixStitchDidAppear,
SetExpirationDidAppear,
SettingsDidAppear,
StreamDidAppear,
SearchDidAppear,
,
// Settings,
UserDidSelectSetting,User tapped one of the options in the settings section. Params: Name
UserDidChangeSetting,User made a change to one of the options in the settings section.
